»ç¾÷Àå¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,Æó¾÷ÀÏÀÚ,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,µµ·Î¸íÀüÃ¼ÁÖ¼Ò,ÁÖ¼Ò,"Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿©ºÎ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼ÒÀÏÀÚ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿¬µµ",ÀÎÇã°¡¿¬µµ
Ã¼À°°ü 1È£,2022-02-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇöµ¿ 221-13,"¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î 628, 1Ãþ (³íÇöµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î 628, 1Ãþ (³íÇöµ¿)",0,,,2022
±èÇöÁø153GYM,2022-02-22,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ ÃµÈ£µ¿ 51-7 ³²ÇØºôµù,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¾çÀç´ë·Î 1517, ³²ÇØºôµù (ÃµÈ£µ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¾çÀç´ë·Î 1517, ³²ÇØºôµù (ÃµÈ£µ¿)",0,,,2022
¾ÆÅäÁî¹«ºê,2022-02-24,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ Ã»´ãµ¿ 85-7,"¼­¿ïÆ¯º°½Ã °­³²±¸ ¼±¸ª·Î152±æ 7, È«°æºôµù 4Ãþ (Ã»´ãµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ¼±¸ª·Î152±æ 7, È«°æºôµù 4Ãþ (Ã»´ãµ¿)",0,,,2022
´ºÇÍ¼¥,2022-02-22,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îµ¿ 747 ¸¶°î¿¥¹ë¸®10´ÜÁö,"¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îÁß¾Ó1·Î 72, ¿ÀÇÇ½ºµ¿ 3Ãþ 304È£ (¸¶°îµ¿, ¸¶°î¿¥¹ë¸®10´ÜÁö)","¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îÁß¾Ó1·Î 72, ¿ÀÇÇ½ºµ¿ 3Ãþ 304È£ (¸¶°îµ¿, ¸¶°î¿¥¹ë¸®10´ÜÁö)",0,,,2022
ÇÇÆ®ÀÎ ÇÇÆ®´Ï½º,2022-02-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 582-8,"¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î 851, ÁöÇÏ1Ãþ (½Å»çµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î 851, ÁöÇÏ1Ãþ (½Å»çµ¿)",0,,,2022
OPgym,2022-02-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ºÏ°¡ÁÂµ¿ 333-4,"¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ÀÀ¾Ï·Î 113, 3Ãþ (ºÏ°¡ÁÂµ¿)","¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ÀÀ¾Ï·Î 113, 3Ãþ (ºÏ°¡ÁÂµ¿)",0,,,2022
½Å±æµ¿Á¡ ½ºÆ÷¾Ö´Ï,2022-02-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ½Å±æµ¿ 2363 ¸ÞÆ®ÇÏÀÓ,"¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ½ÅÇ³·Î 93, ¸ÞÆ®ÇÏÀÓ ÁöÇÏ1Ãþ (½Å±æµ¿)","¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ½ÅÇ³·Î 93, ¸ÞÆ®ÇÏÀÓ ÁöÇÏ1Ãþ (½Å±æµ¿)",0,,,2022
RF Æ®·¹ÀÌ´× ½ºÆ©µð¿À,2022-02-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ïµ¿ 723-31 ¿ª»ïµ¿Á¦ÀÌºôµù,"¼­¿ïÆ¯º°½Ã °­³²±¸ ¾ðÁÖ·Î85±æ 23-10, ¿ª»ïµ¿Á¦ÀÌºôµù ÁöÇÏ1Ãþ (¿ª»ïµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ¾ðÁÖ·Î85±æ 23-10, ¿ª»ïµ¿Á¦ÀÌºôµù ÁöÇÏ1Ãþ (¿ª»ïµ¿)",0,,,2022
¿¡ÀÌ¿ÀÁü,2022-02-22,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1639-2,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1590, 3Ãþ (½Å¸²µ¿)","¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1590, 3Ãþ (½Å¸²µ¿)",0,,,2022
ºí·¢Æ÷½ºÁü ±³´ëÁ¡,2022-02-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1696-11 ¼­ÀÏºôµù,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊ´ë·Î53±æ 10, ¼­ÀÏºôµù ÁöÃþ (¼­ÃÊµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊ´ë·Î53±æ 10, ¼­ÀÏºôµù ÁöÃþ (¼­ÃÊµ¿)",0,,,2022
Must run ½ºÇÇµå Æ®·¹ÀÌ´× ¼¾ÅÍ,2022-04-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 681-15,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 46, ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 46, ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)",0,,,2022
¿¡ÀÌÄ¡Áü&ÇÊ¶ó¿©´ë,2022-04-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ¿ëµÎµ¿ 119-1,"¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ¿Õ»ê·Î 68, ÁöÇÏ1Ãþ (¿ëµÎµ¿)","¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ¿Õ»ê·Î 68, ÁöÇÏ1Ãþ (¿ëµÎµ¿)",0,,,2022
¾ÁÇÇÆ¼Å¬·´,2022-03-30,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ³²°¡ÁÂµ¿ 325-2,"¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ Áõ°¡·Î10±æ 50, ÁöÃþ (³²°¡ÁÂµ¿)","¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ Áõ°¡·Î10±æ 50, ÁöÃþ (³²°¡ÁÂµ¿)",0,,,2022
·Î±×Áü ¼ÛÆÄ³ª·çÁ¡,2022-04-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹æÀÌµ¿ 149-1 ±Ýº¹ºôµù,"¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹éÁ¦°íºÐ·Î 468, ±Ýº¹ºôµù 4Ãþ (¹æÀÌµ¿)","¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹éÁ¦°íºÐ·Î 468, ±Ýº¹ºôµù 4Ãþ (¹æÀÌµ¿)",0,,,2022
¹ÙµðÅ¬·¡½º,2022-04-07,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1444-5,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 212, 3Ãþ (½Å¸²µ¿)","¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 212, 3Ãþ (½Å¸²µ¿)",0,,,2022
ÇÍÀÎ¶óÀÌÇÁ,2022-04-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¿°¸®µ¿ 161-5,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ µ¶¸··Î 291-5, 3Ãþ (¿°¸®µ¿)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ µ¶¸··Î 291-5, 3Ãþ (¿°¸®µ¿)",0,,,2022
ÄÚ¸®¾ÈÅ¾ÆÀ,2022-03-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ç»êµ¿3°¡ 395-4,"¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ç»ê·Î31±æ 14, ÁöÇÏ1Ãþ (´ç»êµ¿3°¡)","¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ç»ê·Î31±æ 14, ÁöÇÏ1Ãþ (´ç»êµ¿3°¡)",0,,,2022
½ºÆ÷´Ï½º È­¾çÁ¡,2022-01-28,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 132-6,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î19±æ 57, 3Ãþ (È­¾çµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î19±æ 57, 3Ãþ (È­¾çµ¿)",0,,,2022
Å©·Î½ºÇÍÇïÆÛ2È£Á¡ DMC»ó¾ÏÁ¡,2022-01-28,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ »ó¾Ïµ¿ 1293 ÅÂ¸²ÆæÆ®À©,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼º¾Ï·Î13±æ 25, ÁöÇÏ2Ãþ  B201È£ (»ó¾Ïµ¿, ÅÂ¸²ÆæÆ®À©)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼º¾Ï·Î13±æ 25, ÁöÇÏ2Ãþ  B201È£ (»ó¾Ïµ¿, ÅÂ¸²ÆæÆ®À©)",0,,,2022
Æ÷¹ÌÁü,2022-04-06,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ªµ¿ 221-2 ¹Ý¾ßºôµù 5Ãþ,"¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î 172, ¹Ý¾ßºôµù 5Ãþ (°ø¸ªµ¿)","¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î 172, ¹Ý¾ßºôµù 5Ãþ (°ø¸ªµ¿)",0,,,2022
Çï½ºº¸ÀÌÁü&ÇÊ¶ó°É À»Áö·ÎÁ¡,2022-03-30,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ ÃÊµ¿ 72-10,¼­¿ïÆ¯º°½Ã Áß±¸ ¸¶¸¥³»·Î 28 (ÃÊµ¿),¼­¿ïÆ¯º°½Ã Áß±¸ ¸¶¸¥³»·Î 28 (ÃÊµ¿),0,,,2022
¾î¹ÝÇÁ¶óÀÌºøÁü,2022-03-30,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ µµ°îµ¿ 417-7,"¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î38±æ 32-11, ÁöÇÏ1Ãþ (µµ°îµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î38±æ 32-11, ÁöÇÏ1Ãþ (µµ°îµ¿)",0,,,2022
Ã»´ãÁü,2022-02-15,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ Ã»´ãµ¿ 120,"¼­¿ïÆ¯º°½Ã °­³²±¸ µµ»ê´ë·Î81±æ 8, ÁöÇÏ1Ãþ (Ã»´ãµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ µµ»ê´ë·Î81±æ 8, ÁöÇÏ1Ãþ (Ã»´ãµ¿)",0,,,2022
DIVE GYM PRIVATE,2022-03-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ïµ¿ 754-2 µµ°îÇÁ¶óÀÚ,"¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î52±æ 14, µµ°îÇÁ¶óÀÚ 3Ãþ (¿ª»ïµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î52±æ 14, µµ°îÇÁ¶óÀÚ 3Ãþ (¿ª»ïµ¿)",0,,,2022
ÇÍ¹ÙµðÁü,2022-02-08,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¼º¼öµ¿2°¡ 317-4 Ã»¿îÀç,"¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¿¬¹«Àå11±æ 15, Ã»¿îÀç ÁöÇÏ1Ãþ (¼º¼öµ¿2°¡)","¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¿¬¹«Àå11±æ 15, Ã»¿îÀç ÁöÇÏ1Ãþ (¼º¼öµ¿2°¡)",0,,,2022
ÀÌÅÂ¿øÁü,2022-01-27,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÀÌÅÂ¿øµ¿ 183-1 µ¿È£ÇÁ¶óÀÚ.¿ÜÈ¯ÀºÇà,"¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÀÌÅÂ¿ø·Î 145, µ¿È£ÇÁ¶óÀÚ.¿ÜÈ¯ÀºÇà (ÀÌÅÂ¿øµ¿)","¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÀÌÅÂ¿ø·Î 145, µ¿È£ÇÁ¶óÀÚ.¿ÜÈ¯ÀºÇà (ÀÌÅÂ¿øµ¿)",0,,,2022
¹Ð¸®¾ðÁü,2022-03-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¾Ï»çµ¿ 502-4 ¾Ï»çµ¿Á¤¿õºôµù,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ »ó¾Ï·Î3±æ 8, ¾Ï»çµ¿Á¤¿õºôµù (¾Ï»çµ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ »ó¾Ï·Î3±æ 8, ¾Ï»çµ¿Á¤¿õºôµù (¾Ï»çµ¿)",0,,,2022
Á¤Á÷ÇÑ ÇÇÆ®´Ï½º,2022-01-27,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îµ¿ 798-17,"¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îÁß¾Ó1·Î 10, B104~109È£ (¸¶°îµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îÁß¾Ó1·Î 10, B104~109È£ (¸¶°îµ¿)",0,,,2022
Å¬·´ÄÃ¸®³Í,2016-06-07,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ »ç´çµ¿ 708-435,"¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ µ¿ÀÛ´ë·Î25±æ 16, 6~7Ãþ (»ç´çµ¿)","¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ µ¿ÀÛ´ë·Î25±æ 16, 6~7Ãþ (»ç´çµ¿)",0,,,2016
YFL,2022-03-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ´çÁÖµ¿ 171,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »õ¹®¾È·Î5±æ 5, 6Ãþ (´çÁÖµ¿)","¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »õ¹®¾È·Î5±æ 5, 6Ãþ (´çÁÖµ¿)",0,,,2022
¿¡ºê¸®µ¥ÀÌ PT,2022-02-08,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹æ¹èµ¿ 438-14,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ µ¿ÀÛ´ë·Î 70, 6Ãþ (¹æ¹èµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ µ¿ÀÛ´ë·Î 70, 6Ãþ (¹æ¹èµ¿)",0,,,2022
ÇÇÆ®´Ï½º·¦,2022-02-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀÀ¾Ïµ¿ 81-173 ´õ À§ÀÏ,"¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀºÆò·Î 194, 202È£ (ÀÀ¾Ïµ¿, ´õ À§ÀÏ)","¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀºÆò·Î 194, 202È£ (ÀÀ¾Ïµ¿, ´õ À§ÀÏ)",0,,,2022
ÇÃ·ç¾ðÆ®(FLUENT),2022-02-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼­±³µ¿ 383-3 JHºôµù,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ µ¿±³·Î12±æ 38, JHºôµù ÁöÇÏ1Ãþ (¼­±³µ¿)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ µ¿±³·Î12±æ 38, JHºôµù ÁöÇÏ1Ãþ (¼­±³µ¿)",0,,,2022
À¯´ÏÇÍ,2022-02-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ Àá½Çµ¿ 252-12 ¼¼Çüºôµù ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ »ïÀü·Î 91, ¼¼Çüºôµù ÁöÇÏ1Ãþ (Àá½Çµ¿)","¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ »ïÀü·Î 91, ¼¼Çüºôµù ÁöÇÏ1Ãþ (Àá½Çµ¿)",0,,,2022
¹Ù¸¥ÇÍ,2022-03-17,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¿Á¼öµ¿ 323-17 Á¶À»ºôµù,"¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ µ¶¼­´ç·Î 226, Á¶À»ºôµù 2Ãþ (¿Á¼öµ¿)","¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ µ¶¼­´ç·Î 226, Á¶À»ºôµù 2Ãþ (¿Á¼öµ¿)",0,,,2022
¼±¹°°°Àº½Ã°£,2022-02-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¸íÀÏµ¿ 329-10 ÇÑ¼ººôµù,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ ±¸Ãµ¸é·Î 456, ÇÑ¼ººôµù 3Ãþ (¸íÀÏµ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ ±¸Ãµ¸é·Î 456, ÇÑ¼ººôµù 3Ãþ (¸íÀÏµ¿)",0,,,2022
Å¬·¹¾î À£´Ï½º ½ºÆ©µð¿À °Ç´ëÁ¡,2022-03-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 227-20 ¸ð¾Æºôµù,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 292, ¸ð¾Æºôµù 2Ãþ (ÀÚ¾çµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 292, ¸ð¾Æºôµù 2Ãþ (ÀÚ¾çµ¿)",0,,,2022
W PT STUDIO,2022-02-03,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 145-8 ÇÑ¼ö»ó°¡,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 635, ÇÑ¼ö»ó°¡ 3Ãþ 11È£ (±¤Àåµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 635, ÇÑ¼ö»ó°¡ 3Ãþ 11È£ (±¤Àåµ¿)",0,,,2022
ÁÖ´Ï¾îÇÍ,2022-03-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ªµ¿ 439-2 ¿ì¸²°í½Ã¿ø,"¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î51±æ 14-2, ¿ì¸²°í½Ã¿ø 3Ãþ (°ø¸ªµ¿)","¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î51±æ 14-2, ¿ì¸²°í½Ã¿ø 3Ãþ (°ø¸ªµ¿)",0,,,2022
ÀÎÇï¼­Áü ¿ù°è¿ªÁ¡,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ¿ù°èµ¿ 942 ¿ù°è¿ª½Åµµºê·¡´º,"¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ¿ù°è·Î 338, »ó°¡Aµ¿ 3, 4Ãþ (¿ù°èµ¿, ¿ù°è¿ª½Åµµºê·¡´º)","¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ¿ù°è·Î 338, »ó°¡Aµ¿ 3, 4Ãþ (¿ù°èµ¿, ¿ù°è¿ª½Åµµºê·¡´º)",0,,,2022
¿£ºñÁüPT,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ¿ù°èµ¿ 402-7,"¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ±¤¿î·Î 39, 3Ãþ (¿ù°èµ¿)","¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ ±¤¿î·Î 39, 3Ãþ (¿ù°èµ¿)",0,,,2022
´ÙÁü,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ Ã»´ãµ¿ 80-17,"¼­¿ïÆ¯º°½Ã °­³²±¸ ¼±¸ª·Î162±æ 51, 201È£ (Ã»´ãµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ¼±¸ª·Î162±æ 51, 201È£ (Ã»´ãµ¿)",0,,,2022
PT ONE,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 571-4,"¼­¿ïÆ¯º°½Ã °­³²±¸ ¾Ð±¸Á¤·Î20±æ 24, 4Ãþ (½Å»çµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ¾Ð±¸Á¤·Î20±æ 24, 4Ãþ (½Å»çµ¿)",0,,,2022
½ºÄù¾îÁü ¾çÃµÇâ±³,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ µîÃÌµ¿ 684-3 ´ë·æµå¸²Å¸¿ö-1,"¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î 462, ´ë·æµå¸²Å¸¿ö-1 B1Ãþ (µîÃÌµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î 462, ´ë·æµå¸²Å¸¿ö-1 B1Ãþ (µîÃÌµ¿)",0,,,2022
Å°¿öGYM,2022-02-16,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ Àá½Çµ¿ 314-10 ´ë¾çºôµù ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹éÁ¦°íºÐ·Î 162, ´ë¾çºôµù ÁöÇÏ1Ãþ (Àá½Çµ¿)","¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹éÁ¦°íºÐ·Î 162, ´ë¾çºôµù ÁöÇÏ1Ãþ (Àá½Çµ¿)",0,,,2022
HM¹«ºê¸ÕÆ®,2022-02-25,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îµ¿ 800 ³ªÀÎ½ºÄù¾î,"¼­¿ïÆ¯º°½Ã °­¼­±¸ °øÇ×´ë·Î 206, ³ªÀÎ½ºÄù¾î 2Ãþ 201È£ (¸¶°îµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ °øÇ×´ë·Î 206, ³ªÀÎ½ºÄù¾î 2Ãþ 201È£ (¸¶°îµ¿)",0,,,2022
¹é°õ Áü,2022-02-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µµºÀ±¸ Ã¢µ¿ 731-34,"¼­¿ïÆ¯º°½Ã µµºÀ±¸ ÇØµî·Î16±æ 7, 2Ãþ 202È£ (Ã¢µ¿)","¼­¿ïÆ¯º°½Ã µµºÀ±¸ ÇØµî·Î16±æ 7, 2Ãþ 202È£ (Ã¢µ¿)",0,,,2022
À¯¾óÁü,2022-02-24,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1303-7 ¾Æ¸á¸®¾Æ,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ »çÆò´ë·Î56±æ 5, ¾Æ¸á¸®¾Æ Áö2Ãþ (¼­ÃÊµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ »çÆò´ë·Î56±æ 5, ¾Æ¸á¸®¾Æ Áö2Ãþ (¼­ÃÊµ¿)",0,,,2022
(ÁÖ)´ÙÀÌ³ª¹ÍÄÉ¾î,2022-02-24,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1337 °­³²¹Ì·¡Å¸¿ö,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ »çÀÓ´ç·Î 174, °­³²¹Ì·¡Å¸¿ö 5Ãþ 503È£ (¼­ÃÊµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ »çÀÓ´ç·Î 174, °­³²¹Ì·¡Å¸¿ö 5Ãþ 503È£ (¼­ÃÊµ¿)",0,,,2022
